Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result
E0,9/8/19,20:00,Liverpool,Norwich,4,1,H
E0,10/8/19,12:30,West Ham,Man City,0,5,A
E0,10/8/19,15:00,Bournemouth,Sheffield United,1,1,D
E0,10/8/19,15:00,Burnley,Southampton,3,0,H
E0,10/8/19,15:00,Crystal Palace,Everton,0,0,D
E0,10/8/19,15:00,Watford,Brighton,0,3,A
E0,10/8/19,17:30,Tottenham,Aston Villa,3,1,H
E0,11/8/19,14:00,Leicester,Wolves,0,0,D
E0,11/8/19,14:00,Newcastle,Arsenal,0,1,A
E0,11/8/19,16:30,Man United,Chelsea,4,0,H
E0,17/08/2019,12:30,Arsenal,Burnley,2,1,H
E0,17/08/2019,15:00,Aston Villa,Bournemouth,1,2,A
E0,17/08/2019,15:00,Brighton,West Ham,1,1,D
E0,17/08/2019,15:00,Everton,Watford,1,0,H
E0,17/08/2019,15:00,Norwich,Newcastle,3,1,H
E0,17/08/2019,15:00,Southampton,Liverpool,1,2,A
E0,17/08/2019,17:30,Man City,Tottenham,2,2,D
E0,18/08/2019,14:00,Sheffield United,Crystal Palace,1,0,H
E0,18/08/2019,16:30,Chelsea,Leicester,1,1,D
E0,19/08/2019,20:00,Wolves,Man United,1,1,D
E0,23/08/2019,20:00,Aston Villa,Everton,2,0,H
E0,24/08/2019,12:30,Norwich,Chelsea,2,3,A
E0,24/08/2019,15:00,Brighton,Southampton,0,2,A
E0,24/08/2019,15:00,Man United,Crystal Palace,1,2,A
E0,24/08/2019,15:00,Sheffield United,Leicester,1,2,A
E0,24/08/2019,15:00,Watford,West Ham,1,3,A
E0,24/08/2019,17:30,Liverpool,Arsenal,3,1,H
E0,25/08/2019,14:00,Bournemouth,Man City,1,3,A
E0,25/08/2019,16:30,Tottenham,Newcastle,0,1,A
E0,25/08/2019,16:30,Wolves,Burnley,1,1,D
E0,31/08/2019,12:30,Southampton,Man United,1,1,D
E0,31/08/2019,15:00,Chelsea,Sheffield United,2,2,D
E0,31/08/2019,15:00,Crystal Palace,Aston Villa,1,0,H
E0,31/08/2019,15:00,Leicester,Bournemouth,3,1,H
E0,31/08/2019,15:00,Man City,Brighton,4,0,H
E0,31/08/2019,15:00,Newcastle,Watford,1,1,D
E0,31/08/2019,15:00,West Ham,Norwich,2,0,H
E0,31/08/2019,17:30,Burnley,Liverpool,0,3,A
E0,1/9/19,14:00,Everton,Wolves,3,2,H
E0,1/9/19,16:30,Arsenal,Tottenham,2,2,D
E0,14/09/2019,12:30,Liverpool,Newcastle,3,1,H
E0,14/09/2019,15:00,Brighton,Burnley,1,1,D
E0,14/09/2019,15:00,Man United,Leicester,1,0,H
E0,14/09/2019,15:00,Sheffield United,Southampton,0,1,A
E0,14/09/2019,15:00,Tottenham,Crystal Palace,4,0,H
E0,14/09/2019,15:00,Wolves,Chelsea,2,5,A
E0,14/09/2019,17:30,Norwich,Man City,3,2,H
E0,15/09/2019,14:00,Bournemouth,Everton,3,1,H
E0,15/09/2019,16:30,Watford,Arsenal,2,2,D
E0,16/09/2019,20:00,Aston Villa,West Ham,0,0,D
E0,20/09/2019,20:00,Southampton,Bournemouth,1,3,A
E0,21/09/2019,12:30,Leicester,Tottenham,2,1,H
E0,21/09/2019,15:00,Burnley,Norwich,2,0,H
E0,21/09/2019,15:00,Everton,Sheffield United,0,2,A
E0,21/09/2019,15:00,Man City,Watford,8,0,H
E0,21/09/2019,17:30,Newcastle,Brighton,0,0,D
E0,22/09/2019,14:00,Crystal Palace,Wolves,1,1,D
E0,22/09/2019,14:00,West Ham,Man United,2,0,H
E0,22/09/2019,16:30,Arsenal,Aston Villa,3,2,H
E0,22/09/2019,16:30,Chelsea,Liverpool,1,2,A
E0,28/09/2019,12:30,Sheffield United,Liverpool,0,1,A
E0,28/09/2019,15:00,Aston Villa,Burnley,2,2,D
E0,28/09/2019,15:00,Bournemouth,West Ham,2,2,D
E0,28/09/2019,15:00,Chelsea,Brighton,2,0,H
E0,28/09/2019,15:00,Crystal Palace,Norwich,2,0,H
E0,28/09/2019,15:00,Tottenham,Southampton,2,1,H
E0,28/09/2019,15:00,Wolves,Watford,2,0,H
E0,28/09/2019,17:30,Everton,Man City,1,3,A
E0,29/09/2019,16:30,Leicester,Newcastle,5,0,H
E0,30/09/2019,20:00,Man United,Arsenal,1,1,D
E0,5/10/19,12:30,Brighton,Tottenham,3,0,H
E0,5/10/19,15:00,Burnley,Everton,1,0,H
E0,5/10/19,15:00,Liverpool,Leicester,2,1,H
E0,5/10/19,15:00,Norwich,Aston Villa,1,5,A
E0,5/10/19,15:00,Watford,Sheffield United,0,0,D
E0,5/10/19,17:30,West Ham,Crystal Palace,1,2,A
E0,6/10/19,14:00,Arsenal,Bournemouth,1,0,H
E0,6/10/19,14:00,Man City,Wolves,0,2,A
E0,6/10/19,14:00,Southampton,Chelsea,1,4,A
E0,6/10/19,16:30,Newcastle,Man United,1,0,H
E0,19/10/2019,12:30,Everton,West Ham,2,0,H
E0,19/10/2019,15:00,Aston Villa,Brighton,2,1,H
E0,19/10/2019,15:00,Bournemouth,Norwich,0,0,D
E0,19/10/2019,15:00,Chelsea,Newcastle,1,0,H
E0,19/10/2019,15:00,Leicester,Burnley,2,1,H
E0,19/10/2019,15:00,Tottenham,Watford,1,1,D
E0,19/10/2019,15:00,Wolves,Southampton,1,1,D
E0,19/10/2019,17:30,Crystal Palace,Man City,0,2,A
E0,20/10/2019,16:30,Man United,Liverpool,1,1,D
E0,21/10/2019,20:00,Sheffield United,Arsenal,1,0,H
E0,25/10/2019,20:00,Southampton,Leicester,0,9,A
E0,26/10/2019,12:30,Man City,Aston Villa,3,0,H
E0,26/10/2019,15:00,Brighton,Everton,3,2,H
E0,26/10/2019,15:00,Watford,Bournemouth,0,0,D
E0,26/10/2019,15:00,West Ham,Sheffield United,1,1,D
E0,26/10/2019,17:30,Burnley,Chelsea,2,4,A
E0,27/10/2019,14:00,Newcastle,Wolves,1,1,D
E0,27/10/2019,16:30,Arsenal,Crystal Palace,2,2,D
E0,27/10/2019,16:30,Liverpool,Tottenham,2,1,H
E0,27/10/2019,16:30,Norwich,Man United,1,3,A
E0,2/11/19,12:30,Bournemouth,Man United,1,0,H
E0,2/11/19,15:00,Arsenal,Wolves,1,1,D
E0,2/11/19,15:00,Aston Villa,Liverpool,1,2,A
E0,2/11/19,15:00,Brighton,Norwich,2,0,H
E0,2/11/19,15:00,Man City,Southampton,2,1,H
E0,2/11/19,15:00,Sheffield United,Burnley,3,0,H
E0,2/11/19,15:00,West Ham,Newcastle,2,3,A
E0,2/11/19,17:30,Watford,Chelsea,1,2,A
E0,3/11/19,14:00,Crystal Palace,Leicester,0,2,A
E0,3/11/19,16:30,Everton,Tottenham,1,1,D
E0,8/11/19,20:00,Norwich,Watford,0,2,A
E0,9/11/19,12:30,Chelsea,Crystal Palace,2,0,H
E0,9/11/19,15:00,Burnley,West Ham,3,0,H
E0,9/11/19,15:00,Newcastle,Bournemouth,2,1,H
E0,9/11/19,15:00,Southampton,Everton,1,2,A
E0,9/11/19,15:00,Tottenham,Sheffield United,1,1,D
E0,9/11/19,17:30,Leicester,Arsenal,2,0,H
E0,10/11/19,14:00,Man United,Brighton,3,1,H
E0,10/11/19,14:00,Wolves,Aston Villa,2,1,H
E0,10/11/19,16:30,Liverpool,Man City,3,1,H
E0,23/11/2019,12:30,West Ham,Tottenham,2,3,A
E0,23/11/2019,15:00,Arsenal,Southampton,2,2,D
E0,23/11/2019,15:00,Bournemouth,Wolves,1,2,A
E0,23/11/2019,15:00,Brighton,Leicester,0,2,A
E0,23/11/2019,15:00,Crystal Palace,Liverpool,1,2,A
E0,23/11/2019,15:00,Everton,Norwich,0,2,A
E0,23/11/2019,15:00,Watford,Burnley,0,3,A
E0,23/11/2019,17:30,Man City,Chelsea,2,1,H
E0,24/11/2019,16:30,Sheffield United,Man United,3,3,D
E0,25/11/2019,20:00,Aston Villa,Newcastle,2,0,H
E0,30/11/2019,12:30,Newcastle,Man City,2,2,D
E0,30/11/2019,15:00,Burnley,Crystal Palace,0,2,A
E0,30/11/2019,15:00,Chelsea,West Ham,0,1,A
E0,30/11/2019,15:00,Liverpool,Brighton,2,1,H
E0,30/11/2019,15:00,Tottenham,Bournemouth,3,2,H
E0,30/11/2019,17:30,Southampton,Watford,2,1,H
E0,1/12/19,14:00,Norwich,Arsenal,2,2,D
E0,1/12/19,14:00,Wolves,Sheffield United,1,1,D
E0,1/12/19,16:30,Leicester,Everton,2,1,H
E0,1/12/19,16:30,Man United,Aston Villa,2,2,D
E0,3/12/19,19:30,Crystal Palace,Bournemouth,1,0,H
E0,3/12/19,20:15,Burnley,Man City,1,4,A
E0,4/12/19,19:30,Chelsea,Aston Villa,2,1,H
E0,4/12/19,19:30,Leicester,Watford,2,0,H
E0,4/12/19,19:30,Man United,Tottenham,2,1,H
E0,4/12/19,19:30,Southampton,Norwich,2,1,H
E0,4/12/19,19:30,Wolves,West Ham,2,0,H
E0,4/12/19,20:15,Liverpool,Everton,5,2,H
E0,5/12/19,19:30,Sheffield United,Newcastle,0,2,A
E0,5/12/19,20:15,Arsenal,Brighton,1,2,A
E0,7/12/19,12:30,Everton,Chelsea,3,1,H
E0,7/12/19,15:00,Bournemouth,Liverpool,0,3,A
E0,7/12/19,15:00,Tottenham,Burnley,5,0,H
E0,7/12/19,15:00,Watford,Crystal Palace,0,0,D
E0,7/12/19,17:30,Man City,Man United,1,2,A
E0,8/12/19,14:00,Aston Villa,Leicester,1,4,A
E0,8/12/19,14:00,Newcastle,Southampton,2,1,H
E0,8/12/19,14:00,Norwich,Sheffield United,1,2,A
E0,8/12/19,16:30,Brighton,Wolves,2,2,D
E0,9/12/19,20:00,West Ham,Arsenal,1,3,A
E0,14/12/2019,12:30,Liverpool,Watford,2,0,H
E0,14/12/2019,15:00,Burnley,Newcastle,1,0,H
E0,14/12/2019,15:00,Chelsea,Bournemouth,0,1,A
E0,14/12/2019,15:00,Leicester,Norwich,1,1,D
E0,14/12/2019,15:00,Sheffield United,Aston Villa,2,0,H
E0,14/12/2019,17:30,Southampton,West Ham,0,1,A
E0,15/12/2019,14:00,Man United,Everton,1,1,D
E0,15/12/2019,14:00,Wolves,Tottenham,1,2,A
E0,15/12/2019,16:30,Arsenal,Man City,0,3,A
E0,16/12/2019,19:45,Crystal Palace,Brighton,1,1,D
E0,21/12/2019,12:30,Everton,Arsenal,0,0,D
E0,21/12/2019,15:00,Aston Villa,Southampton,1,3,A
E0,21/12/2019,15:00,Bournemouth,Burnley,0,1,A
E0,21/12/2019,15:00,Brighton,Sheffield United,0,1,A
E0,21/12/2019,15:00,Newcastle,Crystal Palace,1,0,H
E0,21/12/2019,15:00,Norwich,Wolves,1,2,A
E0,21/12/2019,17:30,Man City,Leicester,3,1,H
E0,22/12/2019,14:00,Watford,Man United,2,0,H
E0,22/12/2019,16:30,Tottenham,Chelsea,0,2,A
E0,26/12/2019,12:30,Tottenham,Brighton,2,1,H
E0,26/12/2019,15:00,Aston Villa,Norwich,1,0,H
E0,26/12/2019,15:00,Bournemouth,Arsenal,1,1,D
E0,26/12/2019,15:00,Chelsea,Southampton,0,2,A
E0,26/12/2019,15:00,Crystal Palace,West Ham,2,1,H
E0,26/12/2019,15:00,Everton,Burnley,1,0,H
E0,26/12/2019,15:00,Sheffield United,Watford,1,1,D
E0,26/12/2019,17:30,Man United,Newcastle,4,1,H
E0,26/12/2019,20:00,Leicester,Liverpool,0,4,A
E0,27/12/2019,19:45,Wolves,Man City,3,2,H
E0,28/12/2019,12:30,Brighton,Bournemouth,2,0,H
E0,28/12/2019,15:00,Newcastle,Everton,1,2,A
E0,28/12/2019,15:00,Southampton,Crystal Palace,1,1,D
E0,28/12/2019,15:00,Watford,Aston Villa,3,0,H
E0,28/12/2019,17:30,Norwich,Tottenham,2,2,D
E0,28/12/2019,17:30,West Ham,Leicester,1,2,A
E0,28/12/2019,19:45,Burnley,Man United,0,2,A
E0,29/12/2019,14:00,Arsenal,Chelsea,1,2,A
E0,29/12/2019,16:30,Liverpool,Wolves,1,0,H
E0,29/12/2019,18:00,Man City,Sheffield United,2,0,H
E0,1/1/20,12:30,Brighton,Chelsea,1,1,D
E0,1/1/20,12:30,Burnley,Aston Villa,1,2,A
E0,1/1/20,15:00,Newcastle,Leicester,0,3,A
E0,1/1/20,15:00,Southampton,Tottenham,1,0,H
E0,1/1/20,15:00,Watford,Wolves,2,1,H
E0,1/1/20,17:30,Man City,Everton,2,1,H
E0,1/1/20,17:30,Norwich,Crystal Palace,1,1,D
E0,1/1/20,17:30,West Ham,Bournemouth,4,0,H
E0,1/1/20,20:00,Arsenal,Man United,2,0,H
E0,2/1/20,20:00,Liverpool,Sheffield United,2,0,H
E0,10/1/20,20:00,Sheffield United,West Ham,1,0,H
E0,11/1/20,12:30,Crystal Palace,Arsenal,1,1,D
E0,11/1/20,15:00,Chelsea,Burnley,3,0,H
E0,11/1/20,15:00,Everton,Brighton,1,0,H
E0,11/1/20,15:00,Leicester,Southampton,1,2,A
E0,11/1/20,15:00,Man United,Norwich,4,0,H
E0,11/1/20,15:00,Wolves,Newcastle,1,1,D
E0,11/1/20,17:30,Tottenham,Liverpool,0,1,A
E0,12/1/20,14:00,Bournemouth,Watford,0,3,A
E0,12/1/20,16:30,Aston Villa,Man City,1,6,A
E0,18/01/2020,12:30,Watford,Tottenham,0,0,D
E0,18/01/2020,15:00,Arsenal,Sheffield United,1,1,D
E0,18/01/2020,15:00,Brighton,Aston Villa,1,1,D
E0,18/01/2020,15:00,Man City,Crystal Palace,2,2,D
E0,18/01/2020,15:00,Norwich,Bournemouth,1,0,H
E0,18/01/2020,15:00,Southampton,Wolves,2,3,A
E0,18/01/2020,15:00,West Ham,Everton,1,1,D
E0,18/01/2020,17:30,Newcastle,Chelsea,1,0,H
E0,19/01/2020,14:00,Burnley,Leicester,2,1,H
E0,19/01/2020,16:30,Liverpool,Man United,2,0,H
E0,21/01/2020,19:30,Aston Villa,Watford,2,1,H
E0,21/01/2020,19:30,Bournemouth,Brighton,3,1,H
E0,21/01/2020,19:30,Crystal Palace,Southampton,0,2,A
E0,21/01/2020,19:30,Everton,Newcastle,2,2,D
E0,21/01/2020,19:30,Sheffield United,Man City,0,1,A
E0,21/01/2020,20:15,Chelsea,Arsenal,2,2,D
E0,22/01/2020,19:30,Leicester,West Ham,4,1,H
E0,22/01/2020,19:30,Tottenham,Norwich,2,1,H
E0,22/01/2020,20:15,Man United,Burnley,0,2,A
E0,23/01/2020,20:00,Wolves,Liverpool,1,2,A
E0,29/01/2020,19:45,West Ham,Liverpool,0,2,A
E0,1/2/20,12:30,Leicester,Chelsea,2,2,D
E0,1/2/20,15:00,Bournemouth,Aston Villa,2,1,H
E0,1/2/20,15:00,Crystal Palace,Sheffield United,0,1,A
E0,1/2/20,15:00,Liverpool,Southampton,4,0,H
E0,1/2/20,15:00,Newcastle,Norwich,0,0,D
E0,1/2/20,15:00,Watford,Everton,2,3,A
E0,1/2/20,15:00,West Ham,Brighton,3,3,D
E0,1/2/20,17:30,Man United,Wolves,0,0,D
E0,2/2/20,14:00,Burnley,Arsenal,0,0,D
E0,2/2/20,16:30,Tottenham,Man City,2,0,H
E0,8/2/20,12:30,Everton,Crystal Palace,3,1,H
E0,8/2/20,17:30,Brighton,Watford,1,1,D
E0,9/2/20,14:00,Sheffield United,Bournemouth,2,1,H
E0,14/02/2020,20:00,Wolves,Leicester,0,0,D
E0,15/02/2020,12:30,Southampton,Burnley,1,2,A
E0,15/02/2020,17:30,Norwich,Liverpool,0,1,A
E0,16/02/2020,14:00,Aston Villa,Tottenham,2,3,A
E0,16/02/2020,16:30,Arsenal,Newcastle,4,0,H
E0,17/02/2020,20:00,Chelsea,Man United,0,2,A
E0,19/02/2020,19:30,Man City,West Ham,2,0,H
E0,22/02/2020,12:30,Chelsea,Tottenham,2,1,H
E0,22/02/2020,15:00,Burnley,Bournemouth,3,0,H
E0,22/02/2020,15:00,Crystal Palace,Newcastle,1,0,H
E0,22/02/2020,15:00,Sheffield United,Brighton,1,1,D
E0,22/02/2020,15:00,Southampton,Aston Villa,2,0,H
E0,22/02/2020,17:30,Leicester,Man City,0,1,A
E0,23/02/2020,14:00,Man United,Watford,3,0,H
E0,23/02/2020,14:00,Wolves,Norwich,3,0,H
E0,23/02/2020,16:30,Arsenal,Everton,3,2,H
E0,24/02/2020,20:00,Liverpool,West Ham,3,2,H
E0,28/02/2020,20:00,Norwich,Leicester,1,0,H
E0,29/02/2020,12:30,Brighton,Crystal Palace,0,1,A
E0,29/02/2020,15:00,Bournemouth,Chelsea,2,2,D
E0,29/02/2020,15:00,Newcastle,Burnley,0,0,D
E0,29/02/2020,15:00,West Ham,Southampton,3,1,H
E0,29/02/2020,17:30,Watford,Liverpool,3,0,H
E0,1/3/20,14:00,Everton,Man United,1,1,D
E0,1/3/20,14:00,Tottenham,Wolves,2,3,A
E0,7/3/20,12:30,Liverpool,Bournemouth,2,1,H
E0,7/3/20,15:00,Arsenal,West Ham,1,0,H
E0,7/3/20,15:00,Crystal Palace,Watford,1,0,H
E0,7/3/20,15:00,Sheffield United,Norwich,1,0,H
E0,7/3/20,15:00,Southampton,Newcastle,0,1,A
E0,7/3/20,15:00,Wolves,Brighton,0,0,D
E0,7/3/20,17:30,Burnley,Tottenham,1,1,D
E0,8/3/20,14:00,Chelsea,Everton,4,0,H
E0,8/3/20,16:30,Man United,Man City,2,0,H
E0,9/3/20,20:00,Leicester,Aston Villa,4,0,H
E0,17/06/2020,18:00,Aston Villa,Sheffield United,0,0,D
E0,17/06/2020,20:15,Man City,Arsenal,3,0,H
E0,19/06/2020,18:00,Norwich,Southampton,0,3,A
E0,19/06/2020,20:15,Tottenham,Man United,1,1,D
E0,20/06/2020,12:30,Watford,Leicester,1,1,D
E0,20/06/2020,15:00,Brighton,Arsenal,2,1,H
E0,20/06/2020,17:30,West Ham,Wolves,0,2,A
E0,20/06/2020,19:45,Bournemouth,Crystal Palace,0,2,A
E0,21/06/2020,14:00,Newcastle,Sheffield United,3,0,H
E0,21/06/2020,16:15,Aston Villa,Chelsea,1,2,A
E0,21/06/2020,19:00,Everton,Liverpool,0,0,D
E0,22/06/2020,20:00,Man City,Burnley,5,0,H
E0,23/06/2020,18:00,Leicester,Brighton,0,0,D
E0,23/06/2020,20:15,Tottenham,West Ham,2,0,H
E0,24/06/2020,18:00,Man United,Sheffield United,3,0,H
E0,24/06/2020,18:00,Newcastle,Aston Villa,1,1,D
E0,24/06/2020,18:00,Norwich,Everton,0,1,A
E0,24/06/2020,18:00,Wolves,Bournemouth,1,0,H
E0,24/06/2020,20:15,Liverpool,Crystal Palace,4,0,H
E0,25/06/2020,18:00,Burnley,Watford,1,0,H
E0,25/06/2020,18:00,Southampton,Arsenal,0,2,A
E0,25/06/2020,20:15,Chelsea,Man City,2,1,H
E0,27/06/2020,12:30,Aston Villa,Wolves,0,1,A
E0,28/06/2020,16:30,Watford,Southampton,1,3,A
E0,29/06/2020,20:00,Crystal Palace,Burnley,0,1,A
E0,30/06/2020,20:15,Brighton,Man United,0,3,A
E0,1/7/20,18:00,Arsenal,Norwich,4,0,H
E0,1/7/20,18:00,Bournemouth,Newcastle,1,4,A
E0,1/7/20,18:00,Everton,Leicester,2,1,H
E0,1/7/20,20:15,West Ham,Chelsea,3,2,H
E0,2/7/20,18:00,Sheffield United,Tottenham,3,1,H
E0,2/7/20,20:15,Man City,Liverpool,4,0,H
E0,4/7/20,12:30,Norwich,Brighton,0,1,A
E0,4/7/20,15:00,Leicester,Crystal Palace,3,0,H
