Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,
D1,16/08/2019,19:30,Bayern Munich,Hertha,2,2,D,BUN1,BUN7,Munich,
D1,17/08/2019,14:30,Dortmund,Augsburg,5,1,H,BUN2,BUN0,Dortmund,
D1,17/08/2019,14:30,Freiburg,Mainz,3,0,H,BUN6,BUN10,Freiburg,
D1,17/08/2019,14:30,Leverkusen,Paderborn,3,2,H,BUN9,BUN12,Leverkusen,
D1,17/08/2019,14:30,Werder Bremen,Fortuna Dusseldorf,1,3,A,BUN16,BUN5,Bremen,
D1,17/08/2019,14:30,Wolfsburg,FC Koln,2,1,H,BUN17,BUN4,Wolfsburg,
D1,17/08/2019,17:30,M'gladbach,Schalke 04,0,0,D,BUN11,BUN14,Monchengladbach,
D1,18/08/2019,14:30,Ein Frankfurt,Hoffenheim,1,0,H,BUN3,BUN8,Frankfurt,
D1,18/08/2019,17:00,Union Berlin,RB Leipzig,0,4,A,BUN15,BUN13,Berlin,
D1,23/08/2019,19:30,FC Koln,Dortmund,1,3,A,BUN4,BUN2,Cologne,
D1,24/08/2019,14:30,Augsburg,Union Berlin,1,1,D,BUN0,BUN15,Augsburg,
D1,24/08/2019,14:30,Fortuna Dusseldorf,Leverkusen,1,3,A,BUN5,BUN9,Dusseldorf,
D1,24/08/2019,14:30,Hoffenheim,Werder Bremen,3,2,H,BUN8,BUN16,Sinsheim,
D1,24/08/2019,14:30,Mainz,M'gladbach,1,3,A,BUN10,BUN11,Mainz,
D1,24/08/2019,14:30,Paderborn,Freiburg,1,3,A,BUN12,BUN6,Paderborn,
D1,24/08/2019,17:30,Schalke 04,Bayern Munich,0,3,A,BUN14,BUN1,Gelsenkirchen,
D1,25/08/2019,14:30,RB Leipzig,Ein Frankfurt,2,1,H,BUN13,BUN3,Leipzig,
D1,25/08/2019,17:00,Hertha,Wolfsburg,0,3,A,BUN7,BUN17,Berlin,
D1,30/08/2019,19:30,M'gladbach,RB Leipzig,1,3,A,BUN11,BUN13,Monchengladbach,
D1,31/08/2019,14:30,Bayern Munich,Mainz,6,1,H,BUN1,BUN10,Munich,
D1,31/08/2019,14:30,Freiburg,FC Koln,1,2,A,BUN6,BUN4,Freiburg,
D1,31/08/2019,14:30,Leverkusen,Hoffenheim,0,0,D,BUN9,BUN8,Leverkusen,
D1,31/08/2019,14:30,Schalke 04,Hertha,3,0,H,BUN14,BUN7,Gelsenkirchen,
D1,31/08/2019,14:30,Wolfsburg,Paderborn,1,1,D,BUN17,BUN12,Wolfsburg,
D1,31/08/2019,17:30,Union Berlin,Dortmund,3,1,H,BUN15,BUN2,Berlin,
D1,1/9/19,14:30,Werder Bremen,Augsburg,3,2,H,BUN16,BUN0,Bremen,
D1,1/9/19,17:00,Ein Frankfurt,Fortuna Dusseldorf,2,1,H,BUN3,BUN5,Frankfurt,
D1,13/09/2019,19:30,Fortuna Dusseldorf,Wolfsburg,1,1,D,BUN5,BUN17,Dusseldorf,
D1,14/09/2019,14:30,Augsburg,Ein Frankfurt,2,1,H,BUN0,BUN3,Augsburg,
D1,14/09/2019,14:30,Dortmund,Leverkusen,4,0,H,BUN2,BUN9,Dortmund,
D1,14/09/2019,14:30,FC Koln,M'gladbach,0,1,A,BUN4,BUN11,Cologne,
D1,14/09/2019,14:30,Mainz,Hertha,2,1,H,BUN10,BUN7,Mainz,
D1,14/09/2019,14:30,Union Berlin,Werder Bremen,1,2,A,BUN15,BUN16,Berlin,
D1,14/09/2019,17:30,RB Leipzig,Bayern Munich,1,1,D,BUN13,BUN1,Leipzig,
D1,15/09/2019,14:30,Hoffenheim,Freiburg,0,3,A,BUN8,BUN6,Sinsheim,
D1,15/09/2019,17:00,Paderborn,Schalke 04,1,5,A,BUN12,BUN14,Paderborn,
D1,20/09/2019,19:30,Schalke 04,Mainz,2,1,H,BUN14,BUN10,Gelsenkirchen,
D1,21/09/2019,14:30,Bayern Munich,FC Koln,4,0,H,BUN1,BUN4,Munich,
D1,21/09/2019,14:30,Freiburg,Augsburg,1,1,D,BUN6,BUN0,Freiburg,
D1,21/09/2019,14:30,Hertha,Paderborn,2,1,H,BUN7,BUN12,Berlin,
D1,21/09/2019,14:30,Leverkusen,Union Berlin,2,0,H,BUN9,BUN15,Leverkusen,
D1,21/09/2019,17:30,Werder Bremen,RB Leipzig,0,3,A,BUN16,BUN13,Bremen,
D1,22/09/2019,14:30,M'gladbach,Fortuna Dusseldorf,2,1,H,BUN11,BUN5,Monchengladbach,
D1,22/09/2019,17:00,Ein Frankfurt,Dortmund,2,2,D,BUN3,BUN2,Frankfurt,
D1,23/09/2019,19:30,Wolfsburg,Hoffenheim,1,1,D,BUN17,BUN8,Wolfsburg,
D1,27/09/2019,19:30,Union Berlin,Ein Frankfurt,1,2,A,BUN15,BUN3,Berlin,
D1,28/09/2019,14:30,Augsburg,Leverkusen,0,3,A,BUN0,BUN9,Augsburg,
D1,28/09/2019,14:30,Hoffenheim,M'gladbach,0,3,A,BUN8,BUN11,Sinsheim,
D1,28/09/2019,14:30,Mainz,Wolfsburg,0,1,A,BUN10,BUN17,Mainz,
D1,28/09/2019,14:30,Paderborn,Bayern Munich,2,3,A,BUN12,BUN1,Paderborn,
D1,28/09/2019,14:30,RB Leipzig,Schalke 04,1,3,A,BUN13,BUN14,Leipzig,
D1,28/09/2019,17:30,Dortmund,Werder Bremen,2,2,D,BUN2,BUN16,Dortmund,
D1,29/09/2019,14:30,Fortuna Dusseldorf,Freiburg,1,2,A,BUN5,BUN6,Dusseldorf,
D1,29/09/2019,17:00,FC Koln,Hertha,0,4,A,BUN4,BUN7,Cologne,
D1,4/10/19,19:30,Hertha,Fortuna Dusseldorf,3,1,H,BUN7,BUN5,Berlin,
D1,5/10/19,14:30,Bayern Munich,Hoffenheim,1,2,A,BUN1,BUN8,Munich,
D1,5/10/19,14:30,Freiburg,Dortmund,2,2,D,BUN6,BUN2,Freiburg,
D1,5/10/19,14:30,Leverkusen,RB Leipzig,1,1,D,BUN9,BUN13,Leverkusen,
D1,5/10/19,14:30,Paderborn,Mainz,1,2,A,BUN12,BUN10,Paderborn,
D1,5/10/19,17:30,Schalke 04,FC Koln,1,1,D,BUN14,BUN4,Gelsenkirchen,
D1,6/10/19,12:30,M'gladbach,Augsburg,5,1,H,BUN11,BUN0,Monchengladbach,
D1,6/10/19,14:30,Wolfsburg,Union Berlin,1,0,H,BUN17,BUN15,Wolfsburg,
D1,6/10/19,17:00,Ein Frankfurt,Werder Bremen,2,2,D,BUN3,BUN16,Frankfurt,
D1,18/10/2019,19:30,Ein Frankfurt,Leverkusen,3,0,H,BUN3,BUN9,Frankfurt,
D1,19/10/2019,14:30,Augsburg,Bayern Munich,2,2,D,BUN0,BUN1,Augsburg,
D1,19/10/2019,14:30,Fortuna Dusseldorf,Mainz,1,0,H,BUN5,BUN10,Dusseldorf,
D1,19/10/2019,14:30,RB Leipzig,Wolfsburg,1,1,D,BUN13,BUN17,Leipzig,
D1,19/10/2019,14:30,Union Berlin,Freiburg,2,0,H,BUN15,BUN6,Berlin,
D1,19/10/2019,14:30,Werder Bremen,Hertha,1,1,D,BUN16,BUN7,Bremen,
D1,19/10/2019,17:30,Dortmund,M'gladbach,1,0,H,BUN2,BUN11,Dortmund,
D1,20/10/2019,14:30,FC Koln,Paderborn,3,0,H,BUN4,BUN12,Cologne,
D1,20/10/2019,17:00,Hoffenheim,Schalke 04,2,0,H,BUN8,BUN14,Sinsheim,
D1,25/10/2019,19:30,Mainz,FC Koln,3,1,H,BUN10,BUN4,Mainz,
D1,26/10/2019,14:30,Bayern Munich,Union Berlin,2,1,H,BUN1,BUN15,Munich,
D1,26/10/2019,14:30,Freiburg,RB Leipzig,2,1,H,BUN6,BUN13,Freiburg,
D1,26/10/2019,14:30,Hertha,Hoffenheim,2,3,A,BUN7,BUN8,Berlin,
D1,26/10/2019,14:30,Paderborn,Fortuna Dusseldorf,2,0,H,BUN12,BUN5,Paderborn,
D1,26/10/2019,14:30,Schalke 04,Dortmund,0,0,D,BUN14,BUN2,Gelsenkirchen,
D1,26/10/2019,17:30,Leverkusen,Werder Bremen,2,2,D,BUN9,BUN16,Leverkusen,
D1,27/10/2019,14:30,Wolfsburg,Augsburg,0,0,D,BUN17,BUN0,Wolfsburg,
D1,27/10/2019,17:00,M'gladbach,Ein Frankfurt,4,2,H,BUN11,BUN3,Monchengladbach,
D1,1/11/19,19:30,Hoffenheim,Paderborn,3,0,H,BUN8,BUN12,Sinsheim,
D1,2/11/19,14:30,Dortmund,Wolfsburg,3,0,H,BUN2,BUN17,Dortmund,
D1,2/11/19,14:30,Ein Frankfurt,Bayern Munich,5,1,H,BUN3,BUN1,Frankfurt,
D1,2/11/19,14:30,Leverkusen,M'gladbach,1,2,A,BUN9,BUN11,Leverkusen,
D1,2/11/19,14:30,RB Leipzig,Mainz,8,0,H,BUN13,BUN10,Leipzig,
D1,2/11/19,14:30,Werder Bremen,Freiburg,2,2,D,BUN16,BUN6,Bremen,
D1,2/11/19,17:30,Union Berlin,Hertha,1,0,H,BUN15,BUN7,Berlin,
D1,3/11/19,14:30,Fortuna Dusseldorf,FC Koln,2,0,H,BUN5,BUN4,Dusseldorf,
D1,3/11/19,17:00,Augsburg,Schalke 04,2,3,A,BUN0,BUN14,Augsburg,
D1,8/11/19,19:30,FC Koln,Hoffenheim,1,2,A,BUN4,BUN8,Cologne,
D1,9/11/19,14:30,Hertha,RB Leipzig,2,4,A,BUN7,BUN13,Berlin,
D1,9/11/19,14:30,Mainz,Union Berlin,2,3,A,BUN10,BUN15,Mainz,
D1,9/11/19,14:30,Paderborn,Augsburg,0,1,A,BUN12,BUN0,Paderborn,
D1,9/11/19,14:30,Schalke 04,Fortuna Dusseldorf,3,3,D,BUN14,BUN5,Gelsenkirchen,
D1,9/11/19,17:30,Bayern Munich,Dortmund,4,0,H,BUN1,BUN2,Munich,
D1,10/11/19,12:30,M'gladbach,Werder Bremen,3,1,H,BUN11,BUN16,Monchengladbach,
D1,10/11/19,14:30,Wolfsburg,Leverkusen,0,2,A,BUN17,BUN9,Wolfsburg,
D1,10/11/19,17:00,Freiburg,Ein Frankfurt,1,0,H,BUN6,BUN3,Freiburg,
D1,22/11/2019,19:30,Dortmund,Paderborn,3,3,D,BUN2,BUN12,Dortmund,
D1,23/11/2019,14:30,Ein Frankfurt,Wolfsburg,0,2,A,BUN3,BUN17,Frankfurt,
D1,23/11/2019,14:30,Fortuna Dusseldorf,Bayern Munich,0,4,A,BUN5,BUN1,Dusseldorf,
D1,23/11/2019,14:30,Leverkusen,Freiburg,1,1,D,BUN9,BUN6,Leverkusen,
D1,23/11/2019,14:30,Union Berlin,M'gladbach,2,0,H,BUN15,BUN11,Berlin,
D1,23/11/2019,14:30,Werder Bremen,Schalke 04,1,2,A,BUN16,BUN14,Bremen,
D1,23/11/2019,17:30,RB Leipzig,FC Koln,4,1,H,BUN13,BUN4,Leipzig,
D1,24/11/2019,14:30,Augsburg,Hertha,4,0,H,BUN0,BUN7,Augsburg,
D1,24/11/2019,17:00,Hoffenheim,Mainz,1,5,A,BUN8,BUN10,Sinsheim,
D1,29/11/2019,19:30,Schalke 04,Union Berlin,2,1,H,BUN14,BUN15,Gelsenkirchen,
D1,30/11/2019,14:30,FC Koln,Augsburg,1,1,D,BUN4,BUN0,Cologne,
D1,30/11/2019,14:30,Hertha,Dortmund,1,2,A,BUN7,BUN2,Berlin,
D1,30/11/2019,14:30,Hoffenheim,Fortuna Dusseldorf,1,1,D,BUN8,BUN5,Sinsheim,
D1,30/11/2019,14:30,Paderborn,RB Leipzig,2,3,A,BUN12,BUN13,Paderborn,
D1,30/11/2019,17:30,Bayern Munich,Leverkusen,1,2,A,BUN1,BUN9,Munich,
D1,1/12/19,14:30,M'gladbach,Freiburg,4,2,H,BUN11,BUN6,Monchengladbach,
D1,1/12/19,17:00,Wolfsburg,Werder Bremen,2,3,A,BUN17,BUN16,Wolfsburg,
D1,2/12/19,19:30,Mainz,Ein Frankfurt,2,1,H,BUN10,BUN3,Mainz,
D1,6/12/19,19:30,Ein Frankfurt,Hertha,2,2,D,BUN3,BUN7,Frankfurt,
D1,7/12/19,14:30,Augsburg,Mainz,2,1,H,BUN0,BUN10,Augsburg,
D1,7/12/19,14:30,Dortmund,Fortuna Dusseldorf,5,0,H,BUN2,BUN5,Dortmund,
D1,7/12/19,14:30,Freiburg,Wolfsburg,1,0,H,BUN6,BUN17,Freiburg,
D1,7/12/19,14:30,M'gladbach,Bayern Munich,2,1,H,BUN11,BUN1,Monchengladbach,
D1,7/12/19,14:30,RB Leipzig,Hoffenheim,3,1,H,BUN13,BUN8,Leipzig,
D1,7/12/19,17:30,Leverkusen,Schalke 04,2,1,H,BUN9,BUN14,Leverkusen,
D1,8/12/19,14:30,Union Berlin,FC Koln,2,0,H,BUN15,BUN4,Berlin,
D1,8/12/19,17:00,Werder Bremen,Paderborn,0,1,A,BUN16,BUN12,Bremen,
D1,13/12/2019,19:30,Hoffenheim,Augsburg,2,4,A,BUN8,BUN0,Sinsheim,
D1,14/12/2019,14:30,Bayern Munich,Werder Bremen,6,1,H,BUN1,BUN16,Munich,
D1,14/12/2019,14:30,FC Koln,Leverkusen,2,0,H,BUN4,BUN9,Cologne,
D1,14/12/2019,14:30,Hertha,Freiburg,1,0,H,BUN7,BUN6,Berlin,
D1,14/12/2019,14:30,Mainz,Dortmund,0,4,A,BUN10,BUN2,Mainz,
D1,14/12/2019,14:30,Paderborn,Union Berlin,1,1,D,BUN12,BUN15,Paderborn,
D1,14/12/2019,17:30,Fortuna Dusseldorf,RB Leipzig,0,3,A,BUN5,BUN13,Dusseldorf,
D1,15/12/2019,14:30,Wolfsburg,M'gladbach,2,1,H,BUN17,BUN11,Wolfsburg,
D1,15/12/2019,17:00,Schalke 04,Ein Frankfurt,1,0,H,BUN14,BUN3,Gelsenkirchen,
D1,17/12/2019,17:30,Werder Bremen,Mainz,0,5,A,BUN16,BUN10,Bremen,
D1,17/12/2019,19:30,Augsburg,Fortuna Dusseldorf,3,0,H,BUN0,BUN5,Augsburg,
D1,17/12/2019,19:30,Dortmund,RB Leipzig,3,3,D,BUN2,BUN13,Dortmund,
D1,17/12/2019,19:30,Union Berlin,Hoffenheim,0,2,A,BUN15,BUN8,Berlin,
D1,18/12/2019,17:30,Leverkusen,Hertha,0,1,A,BUN9,BUN7,Leverkusen,
D1,18/12/2019,19:30,Ein Frankfurt,FC Koln,2,4,A,BUN3,BUN4,Frankfurt,
D1,18/12/2019,19:30,Freiburg,Bayern Munich,1,3,A,BUN6,BUN1,Freiburg,
D1,18/12/2019,19:30,M'gladbach,Paderborn,2,0,H,BUN11,BUN12,Monchengladbach,
D1,18/12/2019,19:30,Wolfsburg,Schalke 04,1,1,D,BUN17,BUN14,Wolfsburg,
D1,20/12/2019,19:30,Hoffenheim,Dortmund,2,1,H,BUN8,BUN2,Sinsheim,
D1,21/12/2019,14:30,Bayern Munich,Wolfsburg,2,0,H,BUN1,BUN17,Munich,
D1,21/12/2019,14:30,FC Koln,Werder Bremen,1,0,H,BUN4,BUN16,Cologne,
D1,21/12/2019,14:30,Mainz,Leverkusen,0,1,A,BUN10,BUN9,Mainz,
D1,21/12/2019,14:30,RB Leipzig,Augsburg,3,1,H,BUN13,BUN0,Leipzig,
D1,21/12/2019,14:30,Schalke 04,Freiburg,2,2,D,BUN14,BUN6,Gelsenkirchen,
D1,21/12/2019,17:30,Hertha,M'gladbach,0,0,D,BUN7,BUN11,Berlin,
D1,22/12/2019,14:30,Fortuna Dusseldorf,Union Berlin,2,1,H,BUN5,BUN15,Dusseldorf,
