Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,
D1,22/12/2019,17:00,Paderborn,Ein Frankfurt,2,1,H,BUN12,BUN3,Paderborn,
D1,17/01/2020,19:30,Schalke 04,M'gladbach,2,0,H,BUN14,BUN11,Gelsenkirchen,
D1,18/01/2020,14:30,Augsburg,Dortmund,3,5,A,BUN0,BUN2,Augsburg,
D1,18/01/2020,14:30,FC Koln,Wolfsburg,3,1,H,BUN4,BUN17,Cologne,
D1,18/01/2020,14:30,Fortuna Dusseldorf,Werder Bremen,0,1,A,BUN5,BUN16,Dusseldorf,
D1,18/01/2020,14:30,Hoffenheim,Ein Frankfurt,1,2,A,BUN8,BUN3,Sinsheim,
D1,18/01/2020,14:30,Mainz,Freiburg,1,2,A,BUN10,BUN6,Mainz,
D1,18/01/2020,17:30,RB Leipzig,Union Berlin,3,1,H,BUN13,BUN15,Leipzig,
D1,19/01/2020,14:30,Hertha,Bayern Munich,0,4,A,BUN7,BUN1,Berlin,
D1,19/01/2020,17:00,Paderborn,Leverkusen,1,4,A,BUN12,BUN9,Paderborn,
D1,24/01/2020,19:30,Dortmund,FC Koln,5,1,H,BUN2,BUN4,Dortmund,
D1,25/01/2020,14:30,Ein Frankfurt,RB Leipzig,2,0,H,BUN3,BUN13,Frankfurt,
D1,25/01/2020,14:30,Freiburg,Paderborn,0,2,A,BUN6,BUN12,Freiburg,
D1,25/01/2020,14:30,M'gladbach,Mainz,3,1,H,BUN11,BUN10,Monchengladbach,
D1,25/01/2020,14:30,Union Berlin,Augsburg,2,0,H,BUN15,BUN0,Berlin,
D1,25/01/2020,14:30,Wolfsburg,Hertha,1,2,A,BUN17,BUN7,Wolfsburg,
D1,25/01/2020,17:30,Bayern Munich,Schalke 04,5,0,H,BUN1,BUN14,Munich,
D1,26/01/2020,14:30,Werder Bremen,Hoffenheim,0,3,A,BUN16,BUN8,Bremen,
D1,26/01/2020,17:00,Leverkusen,Fortuna Dusseldorf,3,0,H,BUN9,BUN5,Leverkusen,
D1,31/01/2020,19:30,Hertha,Schalke 04,0,0,D,BUN7,BUN14,Berlin,
D1,1/2/20,14:30,Augsburg,Werder Bremen,2,1,H,BUN0,BUN16,Augsburg,
D1,1/2/20,14:30,Dortmund,Union Berlin,5,0,H,BUN2,BUN15,Dortmund,
D1,1/2/20,14:30,Fortuna Dusseldorf,Ein Frankfurt,1,1,D,BUN5,BUN3,Dusseldorf,
D1,1/2/20,14:30,Hoffenheim,Leverkusen,2,1,H,BUN8,BUN9,Sinsheim,
D1,1/2/20,14:30,Mainz,Bayern Munich,1,3,A,BUN10,BUN1,Mainz,
D1,1/2/20,17:30,RB Leipzig,M'gladbach,2,2,D,BUN13,BUN11,Leipzig,
D1,2/2/20,14:30,FC Koln,Freiburg,4,0,H,BUN4,BUN6,Cologne,
D1,2/2/20,17:00,Paderborn,Wolfsburg,2,4,A,BUN12,BUN17,Paderborn,
D1,7/2/20,19:30,Ein Frankfurt,Augsburg,5,0,H,BUN3,BUN0,Frankfurt,
D1,8/2/20,14:30,Freiburg,Hoffenheim,1,0,H,BUN6,BUN8,Freiburg,
D1,8/2/20,14:30,Hertha,Mainz,1,3,A,BUN7,BUN10,Berlin,
D1,8/2/20,14:30,Schalke 04,Paderborn,1,1,D,BUN14,BUN12,Gelsenkirchen,
D1,8/2/20,14:30,Werder Bremen,Union Berlin,0,2,A,BUN16,BUN15,Bremen,
D1,8/2/20,14:30,Wolfsburg,Fortuna Dusseldorf,1,1,D,BUN17,BUN5,Wolfsburg,
D1,8/2/20,17:30,Leverkusen,Dortmund,4,3,H,BUN9,BUN2,Leverkusen,
D1,9/2/20,17:00,Bayern Munich,RB Leipzig,0,0,D,BUN1,BUN13,Munich,
D1,14/02/2020,19:30,Dortmund,Ein Frankfurt,4,0,H,BUN2,BUN3,Dortmund,
D1,15/02/2020,14:30,Augsburg,Freiburg,1,1,D,BUN0,BUN6,Augsburg,
D1,15/02/2020,14:30,Hoffenheim,Wolfsburg,2,3,A,BUN8,BUN17,Sinsheim,
D1,15/02/2020,14:30,Paderborn,Hertha,1,2,A,BUN12,BUN7,Paderborn,
D1,15/02/2020,14:30,RB Leipzig,Werder Bremen,3,0,H,BUN13,BUN16,Leipzig,
D1,15/02/2020,14:30,Union Berlin,Leverkusen,2,3,A,BUN15,BUN9,Berlin,
D1,15/02/2020,17:30,Fortuna Dusseldorf,M'gladbach,1,4,A,BUN5,BUN11,Dusseldorf,
D1,16/02/2020,14:30,FC Koln,Bayern Munich,1,4,A,BUN4,BUN1,Cologne,
D1,16/02/2020,17:00,Mainz,Schalke 04,0,0,D,BUN10,BUN14,Mainz,
D1,21/02/2020,19:30,Bayern Munich,Paderborn,3,2,H,BUN1,BUN12,Munich,
D1,22/02/2020,14:30,Freiburg,Fortuna Dusseldorf,0,2,A,BUN6,BUN5,Freiburg,
D1,22/02/2020,14:30,Hertha,FC Koln,0,5,A,BUN7,BUN4,Berlin,
D1,22/02/2020,14:30,M'gladbach,Hoffenheim,1,1,D,BUN11,BUN8,Monchengladbach,
D1,22/02/2020,14:30,Werder Bremen,Dortmund,0,2,A,BUN16,BUN2,Bremen,
D1,22/02/2020,17:30,Schalke 04,RB Leipzig,0,5,A,BUN14,BUN13,Gelsenkirchen,
D1,23/02/2020,14:30,Leverkusen,Augsburg,2,0,H,BUN9,BUN0,Leverkusen,
D1,23/02/2020,17:00,Wolfsburg,Mainz,4,0,H,BUN17,BUN10,Wolfsburg,
D1,24/02/2020,19:30,Ein Frankfurt,Union Berlin,1,2,A,BUN3,BUN15,Frankfurt,
D1,28/02/2020,19:30,Fortuna Dusseldorf,Hertha,3,3,D,BUN5,BUN7,Dusseldorf,
D1,29/02/2020,14:30,Augsburg,M'gladbach,2,3,A,BUN0,BUN11,Augsburg,
D1,29/02/2020,14:30,Dortmund,Freiburg,1,0,H,BUN2,BUN6,Dortmund,
D1,29/02/2020,14:30,Hoffenheim,Bayern Munich,0,6,A,BUN8,BUN1,Sinsheim,
D1,29/02/2020,14:30,Mainz,Paderborn,2,0,H,BUN10,BUN12,Mainz,
D1,29/02/2020,17:30,FC Koln,Schalke 04,3,0,H,BUN4,BUN14,Cologne,
D1,1/3/20,12:30,Union Berlin,Wolfsburg,2,2,D,BUN15,BUN17,Berlin,
D1,1/3/20,14:30,RB Leipzig,Leverkusen,1,1,D,BUN13,BUN9,Leipzig,
D1,6/3/20,19:00,Paderborn,FC Koln,1,2,A,BUN12,BUN4,Paderborn,
D1,7/3/20,14:30,Freiburg,Union Berlin,3,1,H,BUN6,BUN15,Freiburg,
D1,7/3/20,14:30,Hertha,Werder Bremen,2,2,D,BUN7,BUN16,Berlin,
D1,7/3/20,14:30,Leverkusen,Ein Frankfurt,4,0,H,BUN9,BUN3,Leverkusen,
D1,7/3/20,14:30,Schalke 04,Hoffenheim,1,1,D,BUN14,BUN8,Gelsenkirchen,
D1,7/3/20,14:30,Wolfsburg,RB Leipzig,0,0,D,BUN17,BUN13,Wolfsburg,
D1,7/3/20,17:30,M'gladbach,Dortmund,1,2,A,BUN11,BUN2,Monchengladbach,
D1,8/3/20,14:30,Bayern Munich,Augsburg,2,0,H,BUN1,BUN0,Munich,
D1,8/3/20,17:00,Mainz,Fortuna Dusseldorf,1,1,D,BUN10,BUN5,Mainz,
D1,11/3/20,17:30,M'gladbach,FC Koln,2,1,H,BUN11,BUN4,Monchengladbach,
D1,16/05/2020,14:30,Augsburg,Wolfsburg,1,2,A,BUN0,BUN17,Augsburg,
D1,16/05/2020,14:30,Dortmund,Schalke 04,4,0,H,BUN2,BUN14,Dortmund,
D1,16/05/2020,14:30,Fortuna Dusseldorf,Paderborn,0,0,D,BUN5,BUN12,Dusseldorf,
D1,16/05/2020,14:30,Hoffenheim,Hertha,0,3,A,BUN8,BUN7,Sinsheim,
D1,16/05/2020,14:30,RB Leipzig,Freiburg,1,1,D,BUN13,BUN6,Leipzig,
D1,16/05/2020,17:30,Ein Frankfurt,M'gladbach,1,3,A,BUN3,BUN11,Frankfurt,
D1,17/05/2020,14:30,FC Koln,Mainz,2,2,D,BUN4,BUN10,Cologne,
D1,17/05/2020,17:00,Union Berlin,Bayern Munich,0,2,A,BUN15,BUN1,Berlin,
D1,18/05/2020,19:30,Werder Bremen,Leverkusen,1,4,A,BUN16,BUN9,Bremen,
D1,22/05/2020,19:30,Hertha,Union Berlin,4,0,H,BUN7,BUN15,Berlin,
D1,23/05/2020,14:30,Freiburg,Werder Bremen,0,1,A,BUN6,BUN16,Freiburg,
D1,23/05/2020,14:30,M'gladbach,Leverkusen,1,3,A,BUN11,BUN9,Monchengladbach,
D1,23/05/2020,14:30,Paderborn,Hoffenheim,1,1,D,BUN12,BUN8,Paderborn,
D1,23/05/2020,14:30,Wolfsburg,Dortmund,0,2,A,BUN17,BUN2,Wolfsburg,
D1,23/05/2020,17:30,Bayern Munich,Ein Frankfurt,5,2,H,BUN1,BUN3,Munich,
D1,24/05/2020,12:30,Schalke 04,Augsburg,0,3,A,BUN14,BUN0,Gelsenkirchen,
D1,24/05/2020,14:30,Mainz,RB Leipzig,0,5,A,BUN10,BUN13,Mainz,
D1,24/05/2020,17:00,FC Koln,Fortuna Dusseldorf,2,2,D,BUN4,BUN5,Cologne,
D1,26/05/2020,17:30,Dortmund,Bayern Munich,0,1,A,BUN2,BUN1,Dortmund,
D1,26/05/2020,19:30,Ein Frankfurt,Freiburg,3,3,D,BUN3,BUN6,Frankfurt,
D1,26/05/2020,19:30,Leverkusen,Wolfsburg,1,4,A,BUN9,BUN17,Leverkusen,
D1,26/05/2020,19:30,Werder Bremen,M'gladbach,0,0,D,BUN16,BUN11,Bremen,
D1,27/05/2020,17:30,RB Leipzig,Hertha,2,2,D,BUN13,BUN7,Leipzig,
D1,27/05/2020,19:30,Augsburg,Paderborn,0,0,D,BUN0,BUN12,Augsburg,
D1,27/05/2020,19:30,Fortuna Dusseldorf,Schalke 04,2,1,H,BUN5,BUN14,Dusseldorf,
D1,27/05/2020,19:30,Hoffenheim,FC Koln,3,1,H,BUN8,BUN4,Sinsheim,
D1,27/05/2020,19:30,Union Berlin,Mainz,1,1,D,BUN15,BUN10,Berlin,
D1,29/05/2020,19:30,Freiburg,Leverkusen,0,1,A,BUN6,BUN9,Freiburg,
D1,30/05/2020,14:30,Hertha,Augsburg,2,0,H,BUN7,BUN0,Berlin,
D1,30/05/2020,14:30,Mainz,Hoffenheim,0,1,A,BUN10,BUN8,Mainz,
D1,30/05/2020,14:30,Schalke 04,Werder Bremen,0,1,A,BUN14,BUN16,Gelsenkirchen,
D1,30/05/2020,14:30,Wolfsburg,Ein Frankfurt,1,2,A,BUN17,BUN3,Wolfsburg,
D1,30/05/2020,17:30,Bayern Munich,Fortuna Dusseldorf,5,0,H,BUN1,BUN5,Munich,
D1,31/05/2020,14:30,M'gladbach,Union Berlin,4,1,H,BUN11,BUN15,Monchengladbach,
D1,31/05/2020,17:00,Paderborn,Dortmund,1,6,A,BUN12,BUN2,Paderborn,
D1,1/6/20,19:30,FC Koln,RB Leipzig,2,4,A,BUN4,BUN13,Cologne,
D1,3/6/20,19:30,Werder Bremen,Ein Frankfurt,0,3,A,BUN16,BUN3,Bremen,
D1,5/6/20,19:30,Freiburg,M'gladbach,1,0,H,BUN6,BUN11,Freiburg,
D1,6/6/20,14:30,Ein Frankfurt,Mainz,0,2,A,BUN3,BUN10,Frankfurt,
D1,6/6/20,14:30,Fortuna Dusseldorf,Hoffenheim,2,2,D,BUN5,BUN8,Dusseldorf,
D1,6/6/20,14:30,Leverkusen,Bayern Munich,2,4,A,BUN9,BUN1,Leverkusen,
D1,6/6/20,14:30,RB Leipzig,Paderborn,1,1,D,BUN13,BUN12,Leipzig,
D1,6/6/20,17:30,Dortmund,Hertha,1,0,H,BUN2,BUN7,Dortmund,
D1,7/6/20,12:30,Werder Bremen,Wolfsburg,0,1,A,BUN16,BUN17,Bremen,
D1,7/6/20,14:30,Union Berlin,Schalke 04,1,1,D,BUN15,BUN14,Berlin,
D1,7/6/20,17:00,Augsburg,FC Koln,1,1,D,BUN0,BUN4,Augsburg,
D1,12/6/20,19:30,Hoffenheim,RB Leipzig,0,2,A,BUN8,BUN13,Sinsheim,
D1,13/06/2020,14:30,FC Koln,Union Berlin,1,2,A,BUN4,BUN15,Cologne,
D1,13/06/2020,14:30,Fortuna Dusseldorf,Dortmund,0,1,A,BUN5,BUN2,Dusseldorf,
D1,13/06/2020,14:30,Hertha,Ein Frankfurt,1,4,A,BUN7,BUN3,Berlin,
D1,13/06/2020,14:30,Paderborn,Werder Bremen,1,5,A,BUN12,BUN16,Paderborn,
D1,13/06/2020,14:30,Wolfsburg,Freiburg,2,2,D,BUN17,BUN6,Wolfsburg,
D1,13/06/2020,17:30,Bayern Munich,M'gladbach,2,1,H,BUN1,BUN11,Munich,
D1,14/06/2020,14:30,Mainz,Augsburg,0,1,A,BUN10,BUN0,Mainz,
D1,14/06/2020,17:00,Schalke 04,Leverkusen,1,1,D,BUN14,BUN9,Gelsenkirchen,
D1,16/06/2020,17:30,M'gladbach,Wolfsburg,3,0,H,BUN11,BUN17,Monchengladbach,
D1,16/06/2020,19:30,Freiburg,Hertha,2,1,H,BUN6,BUN7,Freiburg,
D1,16/06/2020,19:30,Union Berlin,Paderborn,1,0,H,BUN15,BUN12,Berlin,
D1,16/06/2020,19:30,Werder Bremen,Bayern Munich,0,1,A,BUN16,BUN1,Bremen,
D1,17/06/2020,17:30,Ein Frankfurt,Schalke 04,2,1,H,BUN3,BUN14,Frankfurt,
D1,17/06/2020,19:30,Augsburg,Hoffenheim,1,3,A,BUN0,BUN8,Augsburg,
D1,17/06/2020,19:30,Dortmund,Mainz,0,2,A,BUN2,BUN10,Dortmund,
D1,17/06/2020,19:30,Leverkusen,FC Koln,3,1,H,BUN9,BUN4,Leverkusen,
D1,17/06/2020,19:30,RB Leipzig,Fortuna Dusseldorf,2,2,D,BUN13,BUN5,Leipzig,
D1,20/06/2020,14:30,Bayern Munich,Freiburg,3,1,H,BUN1,BUN6,Munich,
D1,20/06/2020,14:30,FC Koln,Ein Frankfurt,1,1,D,BUN4,BUN3,Cologne,
D1,20/06/2020,14:30,Fortuna Dusseldorf,Augsburg,1,1,D,BUN5,BUN0,Dusseldorf,
D1,20/06/2020,14:30,Hertha,Leverkusen,2,0,H,BUN7,BUN9,Berlin,
D1,20/06/2020,14:30,Hoffenheim,Union Berlin,4,0,H,BUN8,BUN15,Sinsheim,
D1,20/06/2020,14:30,Mainz,Werder Bremen,3,1,H,BUN10,BUN16,Mainz,
D1,20/06/2020,14:30,Paderborn,M'gladbach,1,3,A,BUN12,BUN11,Paderborn,
D1,20/06/2020,14:30,RB Leipzig,Dortmund,0,2,A,BUN13,BUN2,Leipzig,
D1,20/06/2020,14:30,Schalke 04,Wolfsburg,1,4,A,BUN14,BUN17,Gelsenkirchen,
D1,27/06/2020,14:30,Augsburg,RB Leipzig,1,2,A,BUN0,BUN13,Augsburg,
D1,27/06/2020,14:30,Dortmund,Hoffenheim,0,4,A,BUN2,BUN8,Dortmund,
D1,27/06/2020,14:30,Ein Frankfurt,Paderborn,3,2,H,BUN3,BUN12,Frankfurt,
D1,27/06/2020,14:30,Freiburg,Schalke 04,4,0,H,BUN6,BUN14,Freiburg,
D1,27/06/2020,14:30,Leverkusen,Mainz,1,0,H,BUN9,BUN10,Leverkusen,
D1,27/06/2020,14:30,M'gladbach,Hertha,2,1,H,BUN11,BUN7,Monchengladbach,
D1,27/06/2020,14:30,Union Berlin,Fortuna Dusseldorf,3,0,H,BUN15,BUN5,Berlin,
D1,27/06/2020,14:30,Werder Bremen,FC Koln,6,1,H,BUN16,BUN4,Bremen,
D1,27/06/2020,14:30,Wolfsburg,Bayern Munich,0,4,A,BUN17,BUN1,Wolfsburg,
